Scenario,Record,Height_cm,Interface,N_traces,Central_50_trace_start_global_index,Central_50_trace_end_global_index,Central_50_x_start_m,Central_50_x_end_m,Lateral_coherence,Adjacent_trace_correlation,Arrival_time_stability_std_ns,Residual_time_stability_std_ns,Amplitude_CV,Envelope_RMS_CV,Peak_time_ns_mean,Peak_time_ns_std,Peak_time_ns_CI95,Residual_time_ns_mean,Residual_time_ns_std,Residual_time_ns_CI95,Peak_absolute_amplitude_mean,Peak_absolute_amplitude_std,Peak_absolute_amplitude_CI95,RMS_mean,RMS_std,RMS_CI95,Energy_mean,Energy_std,Energy_CI95,Background_RMS_mean,Background_RMS_std,Background_RMS_CI95,Background_energy_mean,Background_energy_std,Background_energy_CI95,SBR_dB_mean,SBR_dB_std,SBR_dB_CI95,Envelope_mean_mean,Envelope_mean_std,Envelope_mean_CI95,Envelope_max_mean,Envelope_max_std,Envelope_max_CI95,Envelope_RMS_mean,Envelope_RMS_std,Envelope_RMS_CI95,Phase_mean_rad_mean,Phase_mean_rad_std,Phase_mean_rad_CI95,Phase_std_rad_mean,Phase_std_rad_std,Phase_std_rad_CI95,Dominant_frequency_MHz_mean,Dominant_frequency_MHz_std,Dominant_frequency_MHz_CI95,Spectral_centroid_MHz_mean,Spectral_centroid_MHz_std,Spectral_centroid_MHz_CI95,Bandwidth_3dB_MHz_mean,Bandwidth_3dB_MHz_std,Bandwidth_3dB_MHz_CI95,Spectral_energy_mean,Spectral_energy_std,Spectral_energy_CI95,Normalized_RMS_to_EndBallast_mean,Normalized_RMS_to_EndBallast_std,Normalized_RMS_to_EndBallast_CI95,Normalized_Envelope_RMS_to_EndBallast_mean,Normalized_Envelope_RMS_to_EndBallast_std,Normalized_Envelope_RMS_to_EndBallast_CI95,Normalized_Envelope_Max_to_EndBallast_mean,Normalized_Envelope_Max_to_EndBallast_std,Normalized_Envelope_Max_to_EndBallast_CI95,Relative_RMS_to_10cm,RMS_loss_dB_to_10cm,Relative_Envelope_RMS_to_10cm,Envelope_RMS_loss_dB_to_10cm,Relative_Peak_amplitude_to_10cm,Peak_amplitude_loss_dB_to_10cm,Relative_Energy_to_10cm,Energy_loss_dB_to_10cm
Wet2,021,10,End ballast,50,25,74,0.5,1.48,0.9759131709196275,0.9989917592117223,0.03287362523585879,0.03287362523585883,0.10405661947758316,0.10893344172921184,8.689042051431022,0.03287362523585879,0.009112104023972705,0.2790420514310174,0.03287362523585883,0.009112104023972703,3294462.72,342810.6536381236,95022.26523739992,1830901.3321026275,193201.07622261133,53552.60612278263,81330715455160.31,18603829132436.227,5156718344347.946,1391722.0552155462,114624.2795655368,31772.22930481017,38995324598599.68,6569064735030.079,1820851846315.7266,2.36741795839602,0.7695267483160751,0.2133019321591823,2431738.426644276,266794.25431871763,73951.59435286644,3305328.0424696296,345551.0113266724,95781.85363514413,2528816.608212411,275472.6966345698,76357.13583424316,5.299837727988024,0.8349785164653378,0.23144423668598765,1.8612629116854698,0.032355248002699545,0.00896841718571509,512.1393099101324,3.4452314521975407e-13,0.0,537.8443342605783,14.316201682318642,3.968248649837494,0.0,0.0,0.0,887339958287892.5,218354156973498.84,60524684397723.29,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Wet2,022,20,End ballast,50,25,74,0.5,1.48,0.9564385859456133,0.9986287360789077,0.054241481639166755,0.05424148163916677,0.10794558731045413,0.12778877358284618,9.305736234482016,0.054241481639166755,0.015034971639554884,0.23573623448202013,0.05424148163916677,0.015034971639554884,2176253.44,234916.95571719614,65115.65798210509,1193332.5007822441,147805.89391080107,40969.703554397405,34690850593259.52,8926908650682.691,2474412835636.7886,755961.6488315108,105392.59747884827,29213.337582749868,11647269242306.56,3296985130387.2217,913877652921.8632,3.9839493757391473,1.498087589089819,0.4152486940782723,1575798.3052703345,212215.52664414851,58823.14288155553,2196275.9286502437,244370.96425543126,67736.17545244345,1665976.5831413001,212893.10437736733,59010.95784705203,0.654801709876494,2.4758356417937475,0.6862666271949571,1.8751402011005083,0.025552835899058365,0.007082884748766318,512.1393099101324,3.4452314521975407e-13,0.0,607.5970450674879,22.65326982139281,6.279166037048127,0.0,0.0,0.0,396133633849589.75,108642965732488.72,30114293696682.902,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6517732440621515,-3.7180694344800216,0.6587969162061769,-3.624968848144489,0.6605791672154663,-3.601502536780416,0.4265405806295343,-3.700396442031628
Wet2,023,30,End ballast,50,25,74,0.5,1.48,0.9400418568034,0.998473803530003,0.05743484272060638,0.05743484272060637,0.11101782811705027,0.11838261249728543,9.969618099085736,0.05743484272060638,0.015920126171536444,0.2296180990857388,0.05743484272060637,0.015920126171536444,1749344.0,194208.37150959318,53831.81413139082,1004933.031688297,118613.74190896755,32878.05184833084,25591955838812.16,6228137806387.388,1726351723007.8455,606852.5031539655,105053.82647995267,29119.43505267921,7581710818263.04,2639109987488.8003,731523966832.5862,4.450399374486379,1.4950768885661108,0.4144141704697494,1362029.614150969,162297.04556746522,44986.445863020315,1772723.6006880857,205592.7719065932,56987.40892581173,1419134.668119725,168000.86949748118,46567.46519422683,0.1743496619746886,1.9771195728554456,0.5480295856156324,2.0374671917957263,0.03177462617036068,0.00880747702481399,491.6537375137268,0.0,0.0,625.0192228442498,32.90352434767898,9.120391634942747,0.0,0.0,0.0,318101493442396.2,77949585542609.44,21606522766921.12,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5488733958886909,-5.210556382682398,0.5611852846549018,-5.017874510427513,0.5309952331164943,-5.4981875535305,0.3146653228806484,-5.021511150829241
Wet2,024,40,End ballast,50,25,74,0.5,1.48,0.9246101578298221,0.9982121677373161,0.0701988538142422,0.0701988538142422,0.12597710404350704,0.12889460706301434,10.615601187928075,0.0701988538142422,0.01945812954092093,0.2056011879280814,0.0701988538142422,0.01945812954092093,1407646.72,177331.25730194143,49153.71674537939,797033.4045787354,102320.09987423664,28361.684697320958,16138056569896.96,4220440332691.6006,1169846375705.0603,406625.8904353566,131347.6764047228,36407.7184101193,3645035652546.56,2380237065053.2915,659768053656.0532,6.212352702480158,2.5205112752707586,0.6986500810020335,1079508.112885973,140304.68759535864,38890.47524412776,1421140.9594974455,179794.8142419312,49836.579890076915,1122450.6346981588,144677.83350705024,40102.649446803705,0.6876280063631859,2.422059921671061,0.671360758061076,1.9837825162863154,0.03543985390030751,0.009823426318729837,491.6537375137268,0.0,0.0,583.0474945658507,26.78645880090353,7.424827571540442,0.0,0.0,0.0,198401939542671.38,52440706671699.5,14535822284727.148,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.43532296940513626,-7.223768342001351,0.44386399197670773,-7.055001705039636,0.4272765666627425,-7.385818495077958,0.19842511503288424,-7.024033592489496
Wet2,025,50,End ballast,50,25,74,0.5,1.48,0.8992833644518868,0.9979619817068149,0.2708635113522405,0.2708635113522405,0.15214709598792675,0.17143020631749606,11.40965596715998,0.2708635113522405,0.07507953485604212,0.3396559671599799,0.2708635113522405,0.07507953485604212,1050368.0,159810.44091864664,44297.19421937096,588650.6547053356,99814.39987645908,27667.140092982285,8906831235481.6,3054022748056.2095,846531916459.02,265073.0477099768,56301.46930120856,15605.971087591113,1394033400217.6,605979551353.6962,167968962008.85144,7.001667510278196,1.6559996021589443,0.4590196709448952,777777.7001965654,141263.66082966572,39156.28906309409,1094989.4679328909,176265.61435868277,48858.33559159068,827382.1443897147,141838.2917161411,39315.568618524434,-0.2986505974829774,0.24742264203622336,0.06858205737713886,1.8627581310901145,0.053893961093129945,0.014938643858750805,491.6537375137268,0.0,0.0,636.4172952511345,36.75019625059713,10.18663468766359,0.0,0.0,0.0,108751157003960.31,38251333831517.35,10602728796344.957,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.32150867137625744,-9.856146185428253,0.32718155270839544,-9.704223817789428,0.31882831565324254,-9.92886230349431,0.10951374503021755,-9.605313692608185
