Scenario,Record,Height_cm,Interface,N_traces,Central_50_trace_start_global_index,Central_50_trace_end_global_index,Central_50_x_start_m,Central_50_x_end_m,Lateral_coherence,Adjacent_trace_correlation,Arrival_time_stability_std_ns,Residual_time_stability_std_ns,Amplitude_CV,Envelope_RMS_CV,Peak_time_ns_mean,Peak_time_ns_std,Peak_time_ns_CI95,Residual_time_ns_mean,Residual_time_ns_std,Residual_time_ns_CI95,Peak_absolute_amplitude_mean,Peak_absolute_amplitude_std,Peak_absolute_amplitude_CI95,RMS_mean,RMS_std,RMS_CI95,Energy_mean,Energy_std,Energy_CI95,Background_RMS_mean,Background_RMS_std,Background_RMS_CI95,Background_energy_mean,Background_energy_std,Background_energy_CI95,SBR_dB_mean,SBR_dB_std,SBR_dB_CI95,Envelope_mean_mean,Envelope_mean_std,Envelope_mean_CI95,Envelope_max_mean,Envelope_max_std,Envelope_max_CI95,Envelope_RMS_mean,Envelope_RMS_std,Envelope_RMS_CI95,Phase_mean_rad_mean,Phase_mean_rad_std,Phase_mean_rad_CI95,Phase_std_rad_mean,Phase_std_rad_std,Phase_std_rad_CI95,Dominant_frequency_MHz_mean,Dominant_frequency_MHz_std,Dominant_frequency_MHz_CI95,Spectral_centroid_MHz_mean,Spectral_centroid_MHz_std,Spectral_centroid_MHz_CI95,Bandwidth_3dB_MHz_mean,Bandwidth_3dB_MHz_std,Bandwidth_3dB_MHz_CI95,Spectral_energy_mean,Spectral_energy_std,Spectral_energy_CI95,Normalized_RMS_to_EndBallast_mean,Normalized_RMS_to_EndBallast_std,Normalized_RMS_to_EndBallast_CI95,Normalized_Envelope_RMS_to_EndBallast_mean,Normalized_Envelope_RMS_to_EndBallast_std,Normalized_Envelope_RMS_to_EndBallast_CI95,Normalized_Envelope_Max_to_EndBallast_mean,Normalized_Envelope_Max_to_EndBallast_std,Normalized_Envelope_Max_to_EndBallast_CI95,Relative_RMS_to_10cm,RMS_loss_dB_to_10cm,Relative_Envelope_RMS_to_10cm,Envelope_RMS_loss_dB_to_10cm,Relative_Peak_amplitude_to_10cm,Peak_amplitude_loss_dB_to_10cm,Relative_Energy_to_10cm,Energy_loss_dB_to_10cm
Wet1,016,10,End ballast,50,25,74,0.5,1.48,0.961913969895746,0.9989681246959762,0.07021809428433483,0.0702180942843348,0.07638471807327334,0.08455442679777175,9.185326288450952,0.07021809428433483,0.0194634627271362,0.7753262884509532,0.0702180942843348,0.0194634627271362,1368341.76,104520.39956548664,28971.576655592566,719650.2154207057,62025.9285350713,17192.710233204107,12520000897187.84,2268770256730.709,628871030727.5425,517701.3931331306,135964.96297724577,37687.564951395434,2289051793489.92,1273645093069.2554,353036408196.62286,3.1051972243473203,2.1224198807035055,0.588304776146872,917278.9235631431,93423.1047293437,25895.563462459017,1700638.8811101061,136447.82077636683,37821.40630484551,987364.9409636008,83486.076623393,23141.159798703873,0.9050287460671582,0.18137201461285768,0.05027375752848517,1.8526235193443048,0.07863605718155064,0.021796802997308247,512.1393099101324,3.4452314521975407e-13,0.0,653.6273051925521,73.73218692488346,20.437519511589276,0.0,0.0,0.0,132731574744186.86,22780130648964.355,6314330064413.695,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Wet1,017,20,End ballast,50,25,74,0.5,1.48,0.9600937788060112,0.9990010952898306,0.08277367333383376,0.08277367333383376,0.08306891029688546,0.07396030505077683,9.749951305650685,0.08277367333383376,0.02294369168148499,0.6799513056506846,0.08277367333383376,0.022943691681484992,1079841.28,89701.23842319398,24863.914756189733,578511.5295437095,43836.984270316425,12150.992106969035,8077412097146.88,1213025361102.8665,336233475766.14215,380228.02385606983,108243.98185674618,30003.701008667224,1092390421790.72,682667623464.8746,189225811092.61887,3.9331999505032385,2.176410588178995,0.6032702367346474,722788.64731102,67601.10158133559,18738.06935878647,1334502.3070180481,106578.7256406527,29542.11553524463,787275.9566944265,58227.169916261955,16139.748065259342,1.2260941853170884,0.19074994028622552,0.052873185904629076,1.768944800485755,0.07988272375193187,0.022142361340539946,512.1393099101324,3.4452314521975407e-13,0.0,641.656399097544,76.30912841704418,21.15181125068979,0.0,0.0,0.0,82651118744698.88,11709845210377.76,3245803494321.9478,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8038787693622979,-1.8961888202243602,0.7973505276844233,-1.9670142804249129,0.7891605091406404,-2.0566931133898754,0.6451606644022825,-1.9033211951277986
Wet1,018,30,End ballast,50,25,74,0.5,1.48,0.9645821854421338,0.998835851442735,0.07640908298944381,0.07640908298944381,0.08245792226180997,0.06600331146376363,10.38617142589591,0.07640908298944381,0.02117951724462391,0.6461714258959154,0.07640908298944381,0.021179517244623903,945652.48,77976.5386825278,21613.993796141254,487556.16567301773,30752.04606291487,8524.032280127685,5965944731402.24,748015411552.682,207339293816.85144,519277.88065209886,120047.8470587543,33275.565515059556,1986409412444.16,1017180528806.6558,281948057847.161,-0.367420319703257,1.5495525654246893,0.4295140577121891,562406.597765357,40955.91484863283,11352.400406713496,966316.0293740502,59927.958002440835,16611.18247058591,627324.2738236372,41405.47943396087,11477.013352125276,1.0304967276890802,0.17668374209065815,0.048974234685826006,2.1222912900487696,0.05171912756667215,0.01433581076122282,491.6537375137268,0.0,0.0,562.6327692437047,38.82053679387364,10.760503807969972,0.0,0.0,0.0,48930650226524.16,6859806049596.699,1901441227115.3767,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6774904741576345,-3.3819361360042377,0.6353519836458964,-3.9397121963969446,0.6910937805479239,-3.209260308349494,0.47651312331313583,-3.219251342617574
Wet1,019,40,End ballast,50,25,74,0.5,1.48,0.9466178484632115,0.9978144049158039,0.07702536625327218,0.07702536625327219,0.088351283996376,0.07622080491262799,10.986593994618389,0.07702536625327218,0.021350342250017956,0.5765939946183952,0.07702536625327219,0.02135034225001796,572531.2,50583.866647985946,14021.132489167341,306726.5777497935,21154.650889778706,5863.770062336248,2362994059182.08,329229351445.92676,91257720333.44104,454486.2910413925,87514.99306881896,24257.91846134659,1712507882209.28,701568996445.0454,194465004383.76068,-3.291056480081119,1.3484204412745298,0.3737630772629844,362911.53438471595,29033.8938766924,8047.784791828232,576106.9387384678,49914.736279772034,13835.659013789475,393437.8772607839,29988.151687932685,8312.2915622049,1.3777774776059035,1.000437774675055,0.277307203174141,2.1169577194565004,0.11505863898809825,0.03189262759413103,491.6537375137268,0.0,0.0,549.1688992241051,44.59539812610805,12.361213702476464,0.0,0.0,0.0,19110907610316.8,3485269011433.574,966067282079.6538,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4262161966706032,-7.407401013083247,0.3984726021128676,-7.992030682860555,0.41841242936267614,-7.5679084558822565,0.18873753113810401,-7.241417302248038
Wet1,020,50,End ballast,50,25,74,0.5,1.48,0.9526186428094198,0.9985146867111464,0.07711300465487347,0.07711300465487347,0.07412402273485932,0.07467997474865348,11.704172186506227,0.07711300465487347,0.021374634375579286,0.6341721865062371,0.07711300465487347,0.021374634375579283,618673.92,45858.59971154454,12711.355318047017,345862.7715147873,23482.766354187028,6509.090745385457,3004036705730.56,404146851171.3364,112023791790.9094,589212.9061149643,49664.31203588928,13766.244954828451,2796712493957.12,480368426655.3838,133151334606.72636,-4.6177124622585835,0.8282045058890233,0.22956657675076583,430284.0368346892,43262.36207551057,11991.714960746569,760273.1309822642,67786.5368961575,18789.46940567063,464678.8598550483,34702.205520208096,9618.960619423606,1.8150328952759804,0.17859026770428463,0.04950269662426725,1.5898669054091226,0.08632101168585543,0.02392696370700503,491.6537375137268,0.0,0.0,632.5715285802142,86.97585412625396,24.108476770849116,0.0,0.0,0.0,30295353991741.44,4946491504898.426,1371097492988.5684,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.48059844088644754,-6.364352848566252,0.4706252375150706,-6.546495745509966,0.45213406334978773,-6.8946554480082565,0.23993901680991947,-6.198991250731551
