Scenario,Record,Height_cm,Interface,N_traces,N_detected_6dB,Detection_probability,Continuity_6dB,Persistence_length_traces,Persistence_ratio,Lateral_coherence,IDI,Arrival_time_stability_std_ns,Residual_time_stability_std_ns,Amplitude_CV,Central_50_trace_start_global_index,Central_50_trace_end_global_index,Central_50_x_start_m,Central_50_x_end_m,Peak_time_ns_mean,Peak_time_ns_std,Peak_time_ns_CI95,Peak_amplitude_mean,Peak_amplitude_std,Peak_amplitude_CI95,RMS_mean,RMS_std,RMS_CI95,Energy_mean,Energy_std,Energy_CI95,Background_RMS_mean,Background_RMS_std,Background_RMS_CI95,Background_energy_mean,Background_energy_std,Background_energy_CI95,SBR_dB_mean,SBR_dB_std,SBR_dB_CI95,Residual_time_ns_mean,Residual_time_ns_std,Residual_time_ns_CI95,Dominant_frequency_MHz_mean,Dominant_frequency_MHz_std,Dominant_frequency_MHz_CI95,Spectral_centroid_MHz_mean,Spectral_centroid_MHz_std,Spectral_centroid_MHz_CI95,Bandwidth_3dB_MHz_mean,Bandwidth_3dB_MHz_std,Bandwidth_3dB_MHz_CI95,Spectral_energy_mean,Spectral_energy_std,Spectral_energy_CI95,Envelope_mean_mean,Envelope_mean_std,Envelope_mean_CI95,Envelope_max_mean,Envelope_max_std,Envelope_max_CI95,Envelope_RMS_mean,Envelope_RMS_std,Envelope_RMS_CI95,Normalized_RMS_to_Top_mean,Normalized_RMS_to_Top_std,Normalized_RMS_to_Top_CI95
Dry,011,10,End ballast,50,0,0.0,0.0,0,0.0,0.9286418453359913,0.0,0.08218406308964603,0.08218406308964604,0.0999867475862131,25,74,0.5050505050505051,1.494949494949495,9.242276938600776,0.08218406308964603,0.022780260059931487,932171.52,93204.7984772966,25835.05205662943,492503.98627845553,59984.73151661139,16626.91928583573,5906073147719.68,1492253978705.6147,413631699777.37573,326000.8313454744,31668.912379647267,8778.174657008864,2145188072980.48,436324517766.37573,120942985921.73737,3.561160184217773,1.0578991398240702,0.29323468098775807,0.8322769386007817,0.08218406308964604,0.022780260059931483,512.1393099101324,3.4452314521975407e-13,0.0,627.1743994696536,50.85097023997988,14.095169827549194,0.0,0.0,0.0,63569962318233.6,15842277056802.928,4391255162230.152,642485.629520085,91283.11570153132,25302.388767192486,1106148.3890205065,68831.14201123614,19079.01917100006,678118.4235203033,82482.0522253841,22862.858434262806,0.07808562825586113,0.009763588431585535,0.0027063286387659542
Dry,012,20,End ballast,50,36,0.72,0.72,20,0.4,0.9195838442931276,0.8378110951664022,0.09493593349976392,0.09493593349976392,0.10706191045467778,25,74,0.5,1.48,9.775985888576326,0.09493593349976392,0.026314898203535612,800062.72,85656.24328676594,23742.699307782455,413571.45366802014,46706.16984386343,12946.28977257981,4156300422348.8,908957096493.1079,251950052881.26135,175441.02971603922,27936.997870351002,7743.740730926776,630888424816.64,205358791342.6517,56922552822.38762,7.496969221084997,1.8099560320101742,0.501694216082485,0.7059858885763206,0.09493593349976392,0.026314898203535612,512.1393099101324,3.4452314521975407e-13,0.0,618.7708830902571,66.2841649763456,18.373033155704235,0.0,0.0,0.0,39174004047708.16,9428125126896.605,2613342954752.7163,502174.5551654581,77807.61963199454,21567.171824148616,895730.9237799,78640.04468826001,21797.90827777766,552159.6198558934,65375.92096333885,18121.280759481127,0.07329336458294271,0.009014622697429437,0.0024987259289626835
Dry,013,30,End ballast,50,2,0.04,0.04,1,0.02,0.9052676803202204,0.03186613103507956,0.09829158972750468,0.0982915897275047,0.12727580052274118,25,74,0.5,1.48,10.384544264463063,0.09829158972750468,0.02724503865493043,631061.76,80318.89068328997,22263.260645737857,343964.7693395102,43597.81615300262,12084.69808711132,3004362918215.68,735809760946.4683,203956060078.37204,226632.71337396663,26233.97897480476,7271.687976791184,1040736879820.8,231332752355.03745,64122167497.11175,3.6131870427763757,1.6039693106372754,0.44459760993575786,0.6445442644630629,0.0982915897275047,0.02724503865493043,491.6537375137268,0.0,0.0,552.3986761454631,34.03620190436144,9.434353835584114,0.0,0.0,0.0,26653762751119.36,8097097682089.281,2244400970142.6006,424463.16618126316,66741.89876120997,18499.9104877005,641336.4002976965,81323.12182919866,22541.61931777296,448967.66318878514,63040.27658933578,17473.873169164402,0.06419689647446856,0.00826994019914121,0.0022923104715694307
Dry,014,40,End ballast,50,0,0.0,0.0,0,0.0,0.9073364464093306,0.0,0.09896271685634063,0.09896271685634064,0.11401470803112705,25,74,0.5,1.48,10.942660635931388,0.09896271685634063,0.027431065604114985,502584.32,57302.00450582253,15883.305296966491,283877.6758428873,31131.96013473576,8629.339088177161,2038408745123.84,436524132606.0426,120998316332.38489,211856.97491187084,25475.92374289843,7061.565786753181,910388401111.04,217736581785.88904,60353501289.327126,2.550937508539399,1.2533816490936494,0.3474196680876477,0.5326606359313841,0.09896271685634064,0.027431065604114985,491.6537375137268,0.0,0.0,519.93450211983,23.739563489545354,6.580271279739511,0.0,0.0,0.0,23670511863971.84,5173121460263.652,1433916111666.0002,383128.6125991584,45905.4509026813,12724.34180567113,518894.3913327836,47275.52599453574,13104.10724583967,394217.13560116576,43738.99591145614,12123.831119622273,0.11848053229502459,0.014186139530574467,0.003932197260683679
Dry,015,50,End ballast,50,38,0.76,0.76,18,0.36,0.9191916840933892,0.9599525656375697,0.5133051051891591,0.5133051051891591,0.11660792085781588,25,74,0.5,1.48,10.552141892046839,0.5133051051891591,0.14228091611319585,449185.28,52378.56158073587,14518.596544353915,278770.2075192023,20979.645762852782,5815.261116035492,1953604280647.68,295018190297.13965,81774870269.53636,131494.4001590866,11709.690166149236,3245.760518254401,331077883822.08,59066348320.29769,16372356451.385983,6.536512911824799,1.0824830251010804,0.30004898632677435,-0.517858107953156,0.5133051051891591,0.14228091611319585,491.6537375137268,0.0,0.0,682.8097262245101,87.044430030287,24.12748504166209,0.0,0.0,0.0,24049853581557.76,3709497728315.027,1028220311407.1581,371348.89689620177,34246.3582503206,9492.60620270026,713848.3270383982,67861.84787810626,18810.34454483587,392729.73908278963,29744.74275030149,8244.822046927931,0.6309411857814182,0.2257708969250145,0.06258049982641674
