Scenario,Record,Height_cm,Interface,N_traces,Central_50_trace_start_global_index,Central_50_trace_end_global_index,Central_50_x_start_m,Central_50_x_end_m,Lateral_coherence,Adjacent_trace_correlation,Arrival_time_stability_std_ns,Residual_time_stability_std_ns,Amplitude_CV,Envelope_RMS_CV,Peak_time_ns_mean,Peak_time_ns_std,Peak_time_ns_CI95,Residual_time_ns_mean,Residual_time_ns_std,Residual_time_ns_CI95,Peak_absolute_amplitude_mean,Peak_absolute_amplitude_std,Peak_absolute_amplitude_CI95,RMS_mean,RMS_std,RMS_CI95,Energy_mean,Energy_std,Energy_CI95,Background_RMS_mean,Background_RMS_std,Background_RMS_CI95,Background_energy_mean,Background_energy_std,Background_energy_CI95,SBR_dB_mean,SBR_dB_std,SBR_dB_CI95,Envelope_mean_mean,Envelope_mean_std,Envelope_mean_CI95,Envelope_max_mean,Envelope_max_std,Envelope_max_CI95,Envelope_RMS_mean,Envelope_RMS_std,Envelope_RMS_CI95,Phase_mean_rad_mean,Phase_mean_rad_std,Phase_mean_rad_CI95,Phase_std_rad_mean,Phase_std_rad_std,Phase_std_rad_CI95,Dominant_frequency_MHz_mean,Dominant_frequency_MHz_std,Dominant_frequency_MHz_CI95,Spectral_centroid_MHz_mean,Spectral_centroid_MHz_std,Spectral_centroid_MHz_CI95,Bandwidth_3dB_MHz_mean,Bandwidth_3dB_MHz_std,Bandwidth_3dB_MHz_CI95,Spectral_energy_mean,Spectral_energy_std,Spectral_energy_CI95,Normalized_RMS_to_EndBallast_mean,Normalized_RMS_to_EndBallast_std,Normalized_RMS_to_EndBallast_CI95,Normalized_Envelope_RMS_to_EndBallast_mean,Normalized_Envelope_RMS_to_EndBallast_std,Normalized_Envelope_RMS_to_EndBallast_CI95,Normalized_Envelope_Max_to_EndBallast_mean,Normalized_Envelope_Max_to_EndBallast_std,Normalized_Envelope_Max_to_EndBallast_CI95,Relative_RMS_to_10cm,RMS_loss_dB_to_10cm,Relative_Envelope_RMS_to_10cm,Envelope_RMS_loss_dB_to_10cm,Relative_Peak_amplitude_to_10cm,Peak_amplitude_loss_dB_to_10cm,Relative_Energy_to_10cm,Energy_loss_dB_to_10cm
Wet3,026,10,End ballast,50,25,74,0.5,1.48,0.9720467871692684,0.9990730018067339,0.04376638957089916,0.043766389570899164,0.09781223757702051,0.11473999400727047,8.90220019913466,0.04376638957089916,0.012131424254624915,-0.02779980086533751,0.043766389570899164,0.012131424254624915,3026351.36,296014.1982158591,82050.94957928566,1785652.4868453944,193817.43174346135,53723.45115680124,80634217417195.52,18880271703138.21,5233344315557.9375,1030676.3809349961,139757.76324256713,38738.87554801502,21628707799121.92,6049321486473.922,1676786367907.9727,4.803270022851707,1.76230332487197,0.4884855595576311,2428618.292292438,284745.99312001176,78927.56247913647,3051512.9387412495,308501.75367511093,85512.32335639225,2477610.762722016,284281.0440670729,78798.68517686665,0.30917571422444434,0.11178045337678127,0.030983960902036874,1.730563039407242,0.0452564512959512,0.012544448292691879,491.6537375137268,0.0,0.0,549.032047549437,11.48695359613697,3.1840210909374305,0.0,0.0,0.0,935120560201154.5,245719128385357.66,68109867483825.43,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Wet3,027,20,End ballast,50,25,74,0.5,1.48,0.9628838052247928,0.9986691484589724,0.05917252542454476,0.05917252542454476,0.12713542803200517,0.12198043410473638,10.4105788473887,0.05917252542454476,0.016401787243150563,0.8105788473886997,0.05917252542454476,0.016401787243150563,2023619.84,257273.77453245784,71312.65199259705,1237053.68941596,151121.1115097441,41888.634989763494,38817066725867.52,9411062906282.43,2608613548488.55,632000.2011545236,88628.05748677593,24566.444177297846,8142441763635.2,2386068409123.632,661384419766.7964,5.847942064914723,1.8112459609272396,0.502051766136411,1691275.1959323483,214111.6691880923,59348.72677991576,2520158.078278975,282362.43501448,78266.87388002517,1748371.5988868242,213267.12660860686,59114.63152021344,0.5163878412056266,0.12486802034093947,0.03461164938307588,1.9014142897890014,0.026363641564647464,0.007307628613036426,491.6537375137268,0.0,0.0,635.0583271693814,41.07287649429032,11.384820520844492,0.0,0.0,0.0,483966808970444.8,117057199112632.88,32446600197464.676,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6927740411581366,-3.18816788150572,0.7056683903673326,-3.0279867173935755,0.6686665225811719,-3.49580839235657,0.48139695490601553,-3.1749666119787494
Wet3,028,30,End ballast,50,25,74,0.5050505050505051,1.494949494949495,0.9443127382458893,0.9985497313410847,0.07709548494439993,0.07709548494439991,0.11425204673913816,0.1175281144063143,11.032154514738256,0.07709548494439993,0.02136977815959582,0.7621545147382588,0.07709548494439991,0.02136977815959582,1781742.08,203567.67940124925,56426.0819217327,1087228.757319182,127507.99256422109,35343.4123494767,29949987328655.36,7097241373220.107,1967254941066.8918,707983.8478097855,73781.78794589089,20451.268213166066,10131520118947.84,2074854947281.8345,575120449254.9651,3.715437835792125,1.119836949508071,0.31040296592160244,1498912.215023722,175035.52134289636,48517.371203313196,1863182.4147400993,211869.35757499537,58727.18971103132,1518224.253849337,178434.03380084605,49459.390795658765,0.4713616542229397,0.2000167947420198,0.05544182691000576,2.024860550701826,0.0270267786214316,0.007491440827242021,491.6537375137268,0.0,0.0,536.9351856215959,16.34092541610951,4.529473435657098,0.0,0.0,0.0,355689788175073.25,85168745745343.47,23607571883380.63,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6088691754574956,-4.3095202386524845,0.6127775503289091,-4.25394307726326,0.5887426369421956,-4.601490225893487,0.37143024745557246,-4.301227323459578
Wet3,029,40,End ballast,50,25,74,0.5050505050505051,1.494949494949495,0.8955916432704303,0.9967186278929988,0.7265814886236074,0.7265814886236072,0.10205777683833298,0.1509970956376316,10.716485196764923,0.7265814886236074,0.20139811349462466,-0.21351480323507802,0.7265814886236072,0.20139811349462464,1033794.56,105506.77450116264,29244.985838669672,691437.9598832829,95076.69539540127,26353.915410383244,11686685731553.28,3196086392427.2373,885909949646.5927,595020.450136465,66800.32742592752,18516.10608727518,6810025108848.64,1494776533962.353,414330916421.1349,1.2786375913954566,1.2045324597940774,0.3338793636280441,932153.7444443207,149401.2569723946,41411.91563380588,1111093.2893218487,123871.1368391962,34335.3273740947,941844.716346082,142215.81670990738,39420.21320792298,4.550576898751944,2.7220552103135116,0.7545152096069282,2.1863740099065163,0.06527665117910883,0.018093764579143506,512.1393099101324,3.4452314521975407e-13,0.0,579.5973161254539,38.71497160325147,10.731242630008666,0.0,0.0,0.0,120978705981767.66,39320905649427.5,10899198978625.793,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3872186581526874,-8.240874487111382,0.3801423252259885,-8.401075463042083,0.34159766564580263,-9.3297021156683,0.14493457127620185,-8.388280098105069
Wet3,030,50,End ballast,50,25,74,0.5,1.48,0.8136910840269029,0.9951332739710792,0.6086616296365929,0.608661629636593,0.17604393408236735,0.19220207148692214,11.414537451458543,0.6086616296365929,0.16871239617952316,-0.18546254854146282,0.608661629636593,0.16871239617952316,713066.24,125530.98615092154,34795.41413008967,444789.911776424,80552.21100805793,22327.933740200027,4900726827417.6,1808437289379.3286,501273242102.9308,549676.8425538334,58600.69481745962,16243.283885566274,5804689845043.2,1183419208435.1396,328027068930.19415,-1.921872956344515,1.7596678881518375,0.48775505376856326,591547.4162549641,119468.15372709632,33114.88272141656,790018.8397734148,121309.82304291584,33625.36741128887,608969.4318502805,117045.18627383797,32443.27040843358,6.393946197661708,1.3204251683794266,0.3660031835193087,2.556968447745262,0.2938521427158379,0.08145165836998192,512.1393099101324,3.4452314521975407e-13,0.0,808.2666689821343,157.9817042728745,43.790294282744874,204.8557239640528,253.44323009074614,70.25087924405172,51960920565350.4,21617186322947.11,5991978343338.563,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2490909709773416,-12.072840288754838,0.24578898389238468,-12.18875171637624,0.2356191185943459,-12.555789459094967,0.060777260378948046,-12.162588802534595
